config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi,rank
DTE1_p100_w25_neutral,1,100,25,neutral,29,13,2162,11.214287696577244,13.785712303422756,325479852810951.8,1
DTE1_p99_w25_neutral,1,99,25,neutral,29,13,2788,11.287162840746054,13.712837159253946,252398652000555.2,2
DTE1_p98_w25_neutral,1,98,25,neutral,29,14,4463,11.4157853461797,13.584214653820302,157671396320600.34,3
DTE1_p97_w25_neutral,1,97,25,neutral,29,16,4883,11.474331353676018,13.525668646323984,144109654265618.34,4
DTE1_p96_w25_neutral,1,96,25,neutral,29,17,5625,11.611269333333333,13.388730666666667,125099989649695.9,5
DTE1_p95_w25_neutral,1,95,25,neutral,29,17,6432,11.934376554726368,13.065623445273632,109404142067773.69,6
DTE1_p95_w20_neutral,1,95,20,neutral,29,26,205449,10.272274773788142,9.727725226211858,49321725400026.414,7
DTE1_p97_w20_neutral,1,97,20,neutral,29,26,160306,10.034932566466631,9.965067433533369,35117210424468.957,8
DTE1_p96_w20_neutral,1,96,20,neutral,29,26,176450,10.106798243128363,9.893201756871637,35094641472014.293,9
DTE1_p97_w30_neutral,1,97,30,neutral,29,25,207864,14.236898404726167,15.763101595273833,32499131360679.5,10
DTE1_p98_w30_neutral,1,98,30,neutral,29,25,189615,14.13511394140759,15.86488605859241,31173559639339.113,11
DTE1_p96_w30_neutral,1,96,30,neutral,29,25,226466,14.313404572871864,15.686595427128132,29829640834239.266,12
DTE1_p95_w30_neutral,1,95,30,neutral,29,26,272469,14.659594375873953,15.34040562412605,27892436832576.6,13
DTE1_p98_w20_neutral,1,98,20,neutral,29,26,147892,9.963284626619425,10.036715373380575,26645455291925.992,14
DTE1_p95_w50_neutral,1,95,50,neutral,29,27,366606,22.01223487886178,27.98776512113822,24953046985734.062,15
DTE1_p96_w50_neutral,1,96,50,neutral,29,26,295806,21.535011257378148,28.464988742621852,23788815703136.258,16
DTE0_p98_w30_neutral,0,98,30,neutral,29,25,78170,12.322136113598567,17.677863886401433,21604833827472.492,17
DTE1_p97_w50_neutral,1,97,50,neutral,29,26,268746,21.26475828477447,28.73524171522553,20947286784980.035,18
DTE1_p98_w50_neutral,1,98,50,neutral,29,26,245897,21.13772636510409,28.86227363489591,20032013780281.547,19
DTE0_p97_w30_neutral,0,97,30,neutral,29,25,87798,12.420227226132711,17.579772773867287,19235630199964.668,20
DTE0_p95_w30_neutral,0,95,30,neutral,29,27,146703,12.212774789881598,17.7872252101184,17268050349634.496,21
DTE0_p96_w30_neutral,0,96,30,neutral,29,26,101007,12.23958200916768,17.76041799083232,16720126924866.92,22
DTE1_p99_w50_neutral,1,99,50,neutral,29,23,135260,20.624252328848144,29.375747671151856,15607439933305.336,23
DTE0_p95_w20_neutral,0,95,20,neutral,29,27,104802,8.362055018034008,11.637944981965992,13428893375975.637,24
DTE0_p95_w50_neutral,0,95,50,neutral,29,27,241155,18.92277842051792,31.07722157948208,13130946851862.238,25
DTE0_p99_w50_neutral,0,99,50,neutral,29,17,59190,18.985170299037,31.014829700963,11888620405298.707,26
DTE1_p95_w20_with_flow,1,95,20,with_flow,29,29,875178,5.795869034642096,1648.6711302386486,11578329393232.316,27
DTE0_p98_w50_neutral,0,98,50,neutral,29,23,126457,19.64300355061404,30.35699644938596,11129276225052.176,28
DTE0_p96_w50_neutral,0,96,50,neutral,29,23,170823,19.49893427700017,30.501065722999833,10298487934842.5,29
DTE0_p97_w50_neutral,0,97,50,neutral,29,23,145922,19.689704568193967,30.310295431806033,9644706648761.793,30
DTE1_p97_w20_with_flow,1,97,20,with_flow,29,29,688315,5.634058519718443,1658.9021757480225,8178667520401.425,31
DTE1_p96_w20_with_flow,1,96,20,with_flow,29,29,761071,5.740055540153284,1657.4933606063032,8136493819547.894,32
DTE0_p96_w20_neutral,0,96,20,neutral,29,25,72314,8.116418397544043,11.883581602455957,7784798980077.807,33
DTE1_p98_w20_with_flow,1,98,20,with_flow,29,29,628844,5.516963873393083,1660.2629521948209,6266498009098.731,34
DTE1_p97_w30_with_flow,1,97,30,with_flow,29,29,1128030,7.195417648466796,2618.3734026134057,5988670018666.68,35
DTE1_p98_w30_with_flow,1,98,30,with_flow,29,29,1026964,7.003768233355794,2626.971733546648,5755775773068.522,36
DTE1_p96_w30_with_flow,1,96,30,with_flow,29,29,1244775,7.318366443734812,2617.7778871844307,5427004431457.222,37
DTE1_p95_w30_with_flow,1,95,30,with_flow,29,29,1428103,7.447338609329999,2580.256554310158,5321622019795.275,38
DTE1_p95_w50_with_flow,1,95,50,with_flow,29,29,2467371,10.102287884554046,4393.086003126405,3707564344094.435,39
DTE1_p96_w50_with_flow,1,96,50,with_flow,29,29,2152621,9.8984488769737,4468.477858601212,3268979731166.082,40
DTE1_p100_w25_with_flow,1,100,25,with_flow,29,29,217515,4.213869526239569,3092.526265820748,3235121448071.759,41
DTE1_p97_w50_with_flow,1,97,50,with_flow,29,29,1937588,9.623494096784247,4475.646621608928,2905416184615.4673,42
DTE1_p98_w50_with_flow,1,98,50,with_flow,29,29,1754992,9.320339089864795,4483.43578916599,2806743331325.894,43
DTE1_p99_w50_with_flow,1,99,50,with_flow,29,29,1014416,7.834699718853015,4620.939560919781,2081061739344.6711,44
DTE1_p99_w25_with_flow,1,99,25,with_flow,29,29,433794,4.329630999967726,2933.8609971322794,1622169605337.2363,45
DTE1_p98_w25_with_flow,1,98,25,with_flow,29,29,710263,4.973515092296797,2834.7036468885467,990742079735.3376,46
DTE1_p97_w25_with_flow,1,97,25,with_flow,29,29,776444,5.135615227885076,2816.1705143448853,906295163307.6766,47
DTE0_p95_w30_with_flow,0,95,30,with_flow,29,29,3050627,5.120538685981603,3057.0532393176877,830411187747.0466,48
DTE1_p96_w25_with_flow,1,96,25,with_flow,29,29,856939,5.260612225607656,2802.4891767208637,821163982243.5719,49
DTE0_p98_w30_with_flow,0,98,30,with_flow,29,29,2066806,4.336403532794079,3117.12687722989,817130325871.8918,50
DTE0_p95_w20_with_flow,0,95,20,with_flow,29,29,1892926,4.242357878754901,2074.952605601064,743491760158.3848,51
DTE1_p95_w25_with_flow,1,95,25,with_flow,29,29,970215,5.253003622908325,2781.483937158259,725290210706.1261,52
DTE0_p97_w30_with_flow,0,97,30,with_flow,29,29,2387015,4.69433316087247,3105.6567356677688,707515394874.8014,53
DTE0_p96_w30_with_flow,0,96,30,with_flow,29,29,2718833,4.973158241054159,3097.3351796671586,621167192063.922,54
DTE0_p95_w50_with_flow,0,95,50,with_flow,29,29,5313057,6.543918450338478,4925.113643119206,596002167502.0481,55
DTE0_p99_w50_with_flow,0,99,50,with_flow,29,29,1502606,3.5839402544645766,5021.595133900703,468311348277.45825,56
DTE0_p98_w50_with_flow,0,98,50,with_flow,29,29,3500028,5.305688043067084,4987.106164207829,402103892766.57935,57
DTE0_p96_w50_with_flow,0,96,50,with_flow,29,29,4722360,6.344952985371721,4973.514134998179,372529541266.3523,58
DTE0_p97_w50_with_flow,0,97,50,with_flow,29,29,4098127,5.866334835401636,4980.093473904054,343419050605.65485,59
DTE0_p96_w20_with_flow,0,96,20,with_flow,29,29,1684312,4.131252719211167,2106.114285429303,334231397416.78314,60
DTE1_p100_w15_neutral,1,100,15,neutral,29,5,61,8.678196721311476,6.321803278688525,1021.1695691138556,61
DTE5_p95_w20_neutral,5,95,20,neutral,23,4,32,10.8265625,9.1734375,908.344688767418,62
DTE5_p96_w30_neutral,5,96,30,neutral,23,1,26,20.215769230769233,9.78423076923077,738.378255610204,63
DTE1_p95_w15_neutral,1,95,15,neutral,29,12,1256,7.971035031847133,7.028964968152867,692.3233764649178,64
DTE5_p95_w30_neutral,5,95,30,neutral,23,1,31,20.22741935483871,9.772580645161293,675.0112859830289,65
DTE0_p99_w15_neutral,0,99,15,neutral,29,4,374,4.862593582887701,10.1374064171123,637.6093962946902,66
DTE1_p98_w15_neutral,1,98,15,neutral,29,11,515,7.958349514563107,7.041650485436894,626.8078582457741,67
DTE1_p97_w15_neutral,1,97,15,neutral,29,12,817,8.169804161566708,6.830195838433293,618.8394140526046,68
DTE1_p99_w15_neutral,1,99,15,neutral,29,8,298,8.152013422818792,6.847986577181208,543.2595382327942,69
DTE1_p96_w15_neutral,1,96,15,neutral,29,12,1025,7.863287804878048,7.136712195121952,531.900701978283,70
DTE1_p99_w20_neutral,1,99,20,neutral,29,21,84957,9.645021599161929,10.354978400838071,527.5234225522737,71
DTE1_p100_w20_neutral,1,100,20,neutral,29,18,26878,9.174481360220256,10.825518639779744,462.6059912117694,72
DTE0_p98_w25_neutral,0,98,25,neutral,29,6,1639,8.980298962782184,16.019701037217814,454.7315398765387,73
DTE1_p99_w30_neutral,1,99,30,neutral,29,22,99742,13.68379569288765,16.31620430711235,435.6287576810989,74
DTE0_p97_w25_neutral,0,97,25,neutral,29,6,1906,9.36025708289612,15.63974291710388,419.8130052169126,75
DTE1_p100_w30_neutral,1,100,30,neutral,29,17,27581,13.17324208694391,16.82675791305609,397.94511919510023,76
DTE0_p96_w25_neutral,0,96,25,neutral,29,6,2107,9.38015187470337,15.61984812529663,392.86978745024174,77
DTE0_p99_w30_neutral,0,99,30,neutral,29,18,39377,12.180382202808747,17.819617797191253,375.7636491371717,78
DTE0_p98_w20_neutral,0,98,20,neutral,29,25,55990,8.133741739596356,11.866258260403644,355.20185456789534,79
DTE0_p99_w20_neutral,0,99,20,neutral,29,20,28658,8.17567799567311,11.824322004326891,355.0530448586095,80
DTE0_p97_w20_neutral,0,97,20,neutral,29,25,62941,8.176619532578128,11.823380467421874,346.026476362517,81
DTE0_p95_w15_neutral,0,95,15,neutral,29,6,3293,6.084819313695718,8.915180686304282,345.4275152721818,82
DTE1_p100_w50_neutral,1,100,50,neutral,29,23,53179,19.294995957050716,30.705004042949284,314.4414176944681,83
DTE3_p97_w20_neutral,3,97,20,neutral,25,4,44,9.386363636363637,10.613636363636363,306.56626376113155,84
DTE3_p95_w25_neutral,3,95,25,neutral,25,11,647,11.02372488408037,13.97627511591963,299.2644670117127,85
DTE0_p95_w25_neutral,0,95,25,neutral,29,6,3697,9.200811468758452,15.799188531241548,286.74092120319415,86
DTE5_p95_w25_neutral,5,95,25,neutral,23,2,108,9.99157407407407,15.008425925925929,274.98373951892944,87
DTE3_p95_w50_neutral,3,95,50,neutral,25,19,3782,19.83723162347964,30.16276837652036,274.2420039678382,88
DTE0_p98_w15_neutral,0,98,15,neutral,29,6,1226,4.902145187601958,10.097854812398044,270.9901722525623,89
DTE0_p97_w15_neutral,0,97,15,neutral,29,6,1624,5.625283251231528,9.37471674876847,270.6693737225914,90
DTE3_p96_w30_neutral,3,96,30,neutral,25,4,115,14.835391304347825,15.164608695652172,270.44686072333116,91
DTE3_p96_w50_neutral,3,96,50,neutral,25,19,3263,18.90335580753908,31.09664419246093,262.75691926847816,92
DTE3_p97_w30_neutral,3,97,30,neutral,25,3,79,14.169873417721522,15.830126582278478,258.82580978721523,93
DTE5_p96_w50_neutral,5,96,50,neutral,23,17,884,21.082432126696837,28.917567873303163,247.2935500293989,94
DTE5_p97_w50_neutral,5,97,50,neutral,23,16,737,20.653066485753055,29.346933514246945,238.2755311173988,95
DTE0_p100_w20_neutral,0,100,20,neutral,29,12,7925,7.754916088328076,12.245083911671925,236.50956979783413,96
DTE5_p95_w50_neutral,5,95,50,neutral,23,17,1205,20.501734439834024,29.49826556016598,231.72737263752833,97
DTE3_p95_w30_neutral,3,95,30,neutral,25,5,184,14.4633152173913,15.536684782608695,228.9669198154115,98
DTE5_p99_w50_neutral,5,99,50,neutral,23,11,354,19.889350282485875,30.110649717514125,223.4937993610384,99
DTE5_p98_w50_neutral,5,98,50,neutral,23,14,557,20.69430879712747,29.30569120287253,222.34439543263937,100
DTE3_p96_w25_neutral,3,96,25,neutral,25,12,623,10.008282504012842,14.991717495987158,222.29352432318163,101
DTE0_p96_w15_neutral,0,96,15,neutral,29,6,2106,5.27783950617284,9.72216049382716,220.44132109919755,102
DTE5_p100_w50_neutral,5,100,50,neutral,23,11,218,18.491422018348626,31.50857798165138,219.30850877529195,103
DTE3_p96_w20_neutral,3,96,20,neutral,25,4,107,8.793271028037383,11.206728971962615,215.4779904728569,104
DTE3_p97_w25_neutral,3,97,25,neutral,25,12,524,10.194790076335876,14.805209923664124,212.57078109065665,105
DTE3_p98_w50_neutral,3,98,50,neutral,25,16,2270,17.38537444933921,32.61462555066079,189.08995860358763,106
DTE3_p97_w50_neutral,3,97,50,neutral,25,19,2681,18.08809772472958,31.91190227527042,186.65319853200648,107
DTE3_p98_w25_neutral,3,98,25,neutral,25,11,443,9.83803611738149,15.16196388261851,185.91396191224445,108
DTE3_p95_w20_neutral,3,95,20,neutral,25,5,144,8.292152777777778,11.70784722222222,179.2705713761002,109
DTE5_p97_w25_neutral,5,97,25,neutral,23,3,83,9.080963855421686,15.919036144578312,172.5216760322548,110
DTE5_p98_w25_neutral,5,98,25,neutral,23,3,76,8.943026315789472,16.056973684210522,172.40201484541356,111
DTE10_p95_w25_neutral,10,95,25,neutral,15,2,5,13.768,11.231999999999998,163.7184047715668,112
DTE5_p96_w25_neutral,5,96,25,neutral,23,3,97,8.718453608247422,16.281546391752578,153.7608929714025,113
DTE5_p97_w30_neutral,5,97,30,neutral,23,1,9,16.61888888888889,13.38111111111111,140.10589157549472,114
DTE5_p98_w30_neutral,5,98,30,neutral,23,1,5,16.150000000000002,13.85,128.7880128381205,115
DTE5_p99_w30_neutral,5,99,30,neutral,23,1,5,16.150000000000002,13.85,128.7880128381205,116
DTE1_p99_w20_with_flow,1,99,20,with_flow,29,29,366381,4.92108384441333,1678.828257742623,122.54424171943393,117
DTE0_p100_w25_neutral,0,100,25,neutral,29,3,156,10.51948717948718,14.480512820512818,117.52813317502584,118
DTE0_p99_w25_neutral,0,99,25,neutral,29,5,602,9.113006644518274,15.886993355481726,113.6799638563498,119
DTE5_p99_w25_neutral,5,99,25,neutral,23,3,101,10.270891089108911,14.729108910891084,112.0584371021622,120
DTE0_p100_w30_neutral,0,100,30,neutral,29,11,10212,10.353988444966705,19.646011555033297,111.93770387542804,121
DTE3_p98_w30_neutral,3,98,30,neutral,25,3,25,12.6468,17.3532,98.782771355458,122
DTE3_p99_w25_neutral,3,99,25,neutral,25,9,388,8.814020618556702,16.1859793814433,94.46362210965157,123
DTE3_p100_w25_neutral,3,100,25,neutral,25,6,351,8.55965811965812,16.44034188034188,92.75001279765942,124
DTE0_p100_w50_neutral,0,100,50,neutral,29,10,11678,15.617667408802877,34.38233259119713,92.14891765989658,125
DTE10_p96_w25_neutral,10,96,25,neutral,15,1,2,11.640000000000004,13.359999999999996,90.58531374679322,126
DTE5_p100_w25_neutral,5,100,25,neutral,23,2,113,9.30424778761062,15.69575221238938,84.31029416350373,127
DTE1_p100_w20_with_flow,1,100,20,with_flow,29,29,152463,4.181494264182129,1807.5193541383808,81.76573754114114,128
DTE1_p99_w30_with_flow,1,99,30,with_flow,29,29,598053,6.037607101711721,2734.0869820066114,72.86285290133152,129
DTE3_p99_w50_neutral,3,99,50,neutral,25,13,1387,15.326964671953856,34.67303532804614,70.41269935445344,130
DTE3_p98_w20_neutral,3,98,20,neutral,25,2,14,7.292142857142857,12.707857142857144,64.3629251141635,131
DTE5_p96_w20_neutral,5,96,20,neutral,23,1,8,7.285,12.715,60.950712248168294,132
DTE3_p100_w50_neutral,3,100,50,neutral,25,10,676,15.149393491124265,34.85060650887574,53.50473526533517,133
DTE1_p100_w30_with_flow,1,100,30,with_flow,29,29,269757,5.072095330241662,3045.264426168737,40.886674755283885,134
DTE1_p100_w50_with_flow,1,100,50,with_flow,29,29,488938,6.695497670461286,4972.804110971125,34.35468572289801,135
DTE10_p95_w50_neutral,10,95,50,neutral,15,2,4,9.914999999999996,40.08500000000001,24.99483760659713,136
DTE0_p99_w20_with_flow,0,99,20,with_flow,29,29,582097,2.8474419211918285,2127.186670640804,17.6781046895008,137
DTE0_p100_w15_neutral,0,100,15,neutral,29,2,5,2.1960000000000006,12.803999999999998,17.17060484123615,138
DTE0_p99_w30_with_flow,0,99,30,with_flow,29,29,921923,3.133396031989656,3148.173857350342,16.201595269965058,139
DTE0_p98_w20_with_flow,0,98,20,with_flow,29,29,1297387,3.6990759734759178,2124.0207461613227,15.596778665449706,140
DTE3_p95_w50_with_flow,3,95,50,with_flow,25,25,67359,7.15443088525661,5868.933410383172,15.566132456505446,141
DTE3_p96_w50_with_flow,3,96,50,with_flow,25,25,57924,6.9720407775706095,5958.226026344866,14.962961537269928,142
DTE0_p97_w20_with_flow,0,97,20,with_flow,29,29,1489393,3.9390003981487767,2114.045570504226,14.910835096960753,143
DTE0_p100_w20_with_flow,0,100,20,with_flow,29,29,171175,2.0708778151015044,2205.728419979553,11.086811694141518,144
DTE5_p95_w50_with_flow,5,95,50,with_flow,23,23,27440,6.944387026239068,6266.74950473761,10.324932012236426,145
DTE3_p97_w50_with_flow,3,97,50,with_flow,25,25,50460,6.769012286959968,6024.20806202933,10.071880371195098,146
DTE3_p98_w50_with_flow,3,98,50,with_flow,25,25,44181,6.800725424956429,6164.080265272401,9.867774605689135,147
DTE5_p96_w50_with_flow,5,96,50,with_flow,23,23,23912,6.932989712278354,6374.167160003345,9.291893433298885,148
DTE5_p95_w20_with_flow,5,95,20,with_flow,23,14,3231,2.46909316001238,2258.487944908697,9.15772386514766,149
DTE5_p97_w50_with_flow,5,97,50,with_flow,23,23,21778,6.816702635687392,6450.929593626595,8.211094130453278,150
DTE3_p95_w25_with_flow,3,95,25,with_flow,25,25,29745,5.279361573373675,3511.0881375021013,6.741585571511409,151
DTE5_p98_w50_with_flow,5,98,50,with_flow,23,23,19087,6.775129145491696,6591.387188662441,6.636116586752675,152
DTE3_p96_w25_with_flow,3,96,25,with_flow,25,25,25649,5.201274513626262,3578.798660376623,5.6195739942366325,153
DTE5_p99_w50_with_flow,5,99,50,with_flow,23,23,15224,5.689756962690487,6836.945360614819,5.311217125412387,154
DTE3_p97_w25_with_flow,3,97,25,with_flow,25,25,22427,5.064343871226646,3642.001200784768,5.1735126213202,155
